"","County","AGEGROUP","AGEGROUPMIN","AGEGROUPMAX","POP"
"304","Mason County","15",70,74,"4340"
"305","Mason County","16",75,79,"2773"
"306","Mason County","17",80,84,"1706"
"307","Mason County","18",85,Inf,"1341"
"308","Mason County","19",0,17,"13004"
"309","Mason County","20",5,13,"6571"
"310","Mason County","21",14,17,"2906"
"311","Mason County","22",18,64,"38216"
"312","Mason County","23",18,24,"4562"
"313","Mason County","24",25,44,"15555"
"314","Mason County","25",45,64,"18099"
"315","Mason County","26",65,Inf,"15548"
"316","Mason County","27",85,Inf,"1341"
"317","Mason County","28",16,Inf,"55163"
"318","Mason County","29",18,Inf,"53764"
"319","Mason County","30",15,44,"22275"
"320","Mason County","31",NA,NA,"45.4"
"321","Skagit County","0",0,Inf,"129205"
"322","Skagit County","1",0,4,"7493"
"323","Skagit County","2",5,9,"7776"
"324","Skagit County","3",10,14,"7919"
"325","Skagit County","4",15,19,"7277"
"326","Skagit County","5",20,24,"6993"
"327","Skagit County","6",25,29,"8466"
"328","Skagit County","7",30,34,"7975"
"329","Skagit County","8",35,39,"8225"
"330","Skagit County","9",40,44,"7139"
"331","Skagit County","10",45,49,"7170"
"332","Skagit County","11",50,54,"7152"
"333","Skagit County","12",55,59,"8702"
"334","Skagit County","13",60,64,"9138"
"335","Skagit County","14",65,69,"9052"
"336","Skagit County","15",70,74,"7517"
"337","Skagit County","16",75,79,"5062"
"338","Skagit County","17",80,84,"3089"
"339","Skagit County","18",85,Inf,"3060"
"340","Skagit County","19",0,17,"27780"
"341","Skagit County","20",5,13,"14132"
"342","Skagit County","21",14,17,"6155"
"343","Skagit County","22",18,64,"73645"
"344","Skagit County","23",18,24,"9678"
"345","Skagit County","24",25,44,"31805"
"346","Skagit County","25",45,64,"32162"
"347","Skagit County","26",65,Inf,"27780"
"348","Skagit County","27",85,Inf,"3060"
"349","Skagit County","28",16,Inf,"104505"
"350","Skagit County","29",18,Inf,"101425"
"351","Skagit County","30",15,44,"46075"
"352","Skagit County","31",NA,NA,"41.7"
"353","Stevens County","0",0,Inf,"45723"
"354","Stevens County","1",0,4,"2368"
"355","Stevens County","2",5,9,"2700"
"356","Stevens County","3",10,14,"2901"
