time,S_i1,S_i2,S_i3,S_i4,E_i1,E_i2,E_i3,E_i4,A_i1,A_i2,A_i3,A_i4,P_i1,P_i2,P_i3,P_i4,I_i1,I_i2,I_i3,I_i4,D_i1,D_i2,D_i3,D_i4,H_i1,H_i2,H_i3,H_i4,R_i1,R_i2,R_i3,R_i4,F_i1,F_i2,F_i3,F_i4,cum_exp_i1,cum_exp_i2,cum_exp_i3,cum_exp_i4,cum_asym_i1,cum_asym_i2,cum_asym_i3,cum_asym_i4,cum_sym_i1,cum_sym_i2,cum_sym_i3,cum_sym_i4,cum_diag_i1,cum_diag_i2,cum_diag_i3,cum_diag_i4,cum_hosp_i1,cum_hosp_i2,cum_hosp_i3,cum_hosp_i4
51,299223.83013829,594033.637473475,306686.815855974,105059.403040832,71092.1324829954,141109.341769819,72842.6911079655,24953.3264871227,19911.3771544305,39521.8107082615,20401.224989693,6988.24917075924,25866.2172733266,51340.8973645587,26502.350747177,9078.33700041734,33122.9332605238,65692.12997328,33846.1632114755,11565.1887733392,6849.99842680996,13582.2607059925,6993.77970358707,2387.90860434484,22.8346056588075,1031.9672038579,2147.00385369038,1272.51222196852,46077.6766579648,90542.1988582974,45052.4931419641,14585.3152758422,0,33.7559424584716,177.477388472909,404.759425373767,202943.16986171,402852.362526525,207961.184144025,71235.5969591678,39555.3112136143,78523.506227012,40536.147910818,13884.6811416135,66429.5088917735,131880.617165136,68081.9943780649,23319.2523300142,7996.40653053923,17428.2467193223,11648.5186044404,5152.54881381829,37.0614449531877,1709.68266398568,3666.28831105737,2476.21623153434
52,269310.056285431,534655.487965433,276032.909118962,94557.19283913,76582.3840175764,152009.345322188,78471.1969394244,26882.5467977696,22951.1085510596,45555.4001054484,23516.0217010429,8055.40557278929,29183.8361549285,57926.3769771833,29902.2601746808,10243.298695935,35216.2809697629,69844.808724376,35987.8940674478,12298.1888178018,12297.1700204504,24380.5563990422,12551.6225602472,4284.54365876618,27.954941318254,1262.83563123783,2625.75395721001,1552.565713173,56598.2090594729,111210.862396528,55339.8854598917,17914.510972742,0,42.32647856401,222.456021092965,506.746931893242,232856.943714569,462230.512034568,238615.090881037,81737.8071608701,46882.3679090977,93066.950013714,48043.768182484,16456.5781089302,80208.3556329662,159229.839721483,82199.8655844485,28155.3835582354,14821.4704395914,31265.2306789366,19289.9675026261,7988.73036255452,45.800346707879,2112.62108548449,4530.0752806322,3059.56783719224
53,240139.580080061,476750.94610615,246138.674610805,84314.6386560955,79874.2798967689,158546.65742704,81847.99288337,28040.5970072349,25832.1758293182,51274.3088770891,26468.5223175506,9067.04781309117,31980.9895478452,63479.1752462392,32769.2925842432,11225.8270164825,37998.7898104749,75365.0434643233,38834.8381250692,13272.4425886607,17483.226240968,34658.9118414299,17839.2948453265,6087.90048464564,33.8448237800193,1528.13112434368,3175.04733412259,1871.84538945391,68824.1137707831,135232.070377057,67299.1853408688,21784.2618193297,0,52.7555363277054,277.151958643383,630.439225006082,262027.419919938,520135.05389385,268509.325389194,91980.3613439046,54645.9420069508,108477.118940043,55998.9997517473,19181.9293010009,95526.2084683733,189634.102280528,97895.0401698338,33532.0080191863,22142.8970771532,46108.8167180567,27487.8588213133,11031.7533522554,56.0955266997227,2587.29996907685,5547.5899251467,3746.69295409464
54,212597.919229607,422077.875433904,217911.701468648,74642.7359238526,80834.6947668964,160456.631000184,82836.2248817066,28380.4675812988,28378.5591042516,56329.1652234576,29078.372202861,9961.38864312096,34046.9896524533,67581.0552872094,34887.5111234504,11951.9272227444,41000.3996803581,81319.8497067159,41905.4067727324,14322.9968075701,22525.6435588582,44650.7679328021,22977.5283579142,7839.43172540313,40.4487996765103,1825.19870826422,3788.8939001885,2225.70116616858,82742.3452078987,162582.163944956,80921.5102719616,26191.8214768249,0,65.2927625067735,342.851020537223,778.529453016693,289569.080770393,574808.124566096,296736.298531352,101652.264076148,62620.3158010489,124306.048069774,64170.6220948936,21981.5389484546,112067.080549994,222466.39020893,114843.940431301,39338.3303236498,30050.674881408,62141.519093311,36343.0123779698,14319.0529998289,67.9982511858006,3136.07647859252,6723.84933973242,4540.95058450124
55,187374.880149432,372005.845999542,192059.220810558,65783.8905348775,79537.1479019486,157884.755835106,81510.7536828798,27927.6723898512,30443.4859479396,60428.6101861253,31195.1424799576,10686.8812556567,35249.6117328623,69969.4599715635,36121.3130058734,12375.1090573716,43815.5050602951,86904.3610048539,44784.3812656313,15307.7314968197,27444.5343499147,54396.2619580342,27987.2249895677,9546.37411891066,47.6492660414783,2148.55832756382,4455.37727810137,2605.8862983779,98254.1855915662,193069.989439838,96115.9170784077,31108.2127149963,0,80.1572773741892,420.669409023233,953.242133138516,314792.119850568,624880.154000459,322588.779189442,110511.109465123,70576.4915845858,140099.219449606,72324.0076519687,24775.0311225814,129428.868631171,256928.718744184,132634.70484872,45433.2968953184,38546.8493990032,79367.4428021784,45857.5702701363,17851.3664272061,81.4852520605825,3757.869819461,8056.49232897059,5440.70942000463
56,164896.306763273,327380.577259921,169018.080155641,57887.9035766452,76260.0672830569,151383.295053107,78156.4615018139,26779.6924267984,31923.1629861798,63366.5618236856,32712.4097705341,11207.0454121073,35542.7732384274,70552.7808529457,36423.32706091,12479.1000547483,46119.3388749997,91474.2382618369,47139.5211254388,16112.9967279204,32189.1924300746,63794.9942083292,32816.7887532113,11191.1513456997,55.2727258523392,2490.20715833396,5157.34717164033,3001.13157351846,115180.885698136,226347.827945472,112714.617332588,36479.8879564386,0,97.5174363692714,511.447128222286,1156.09092612362,337270.693236727,669505.42274008,345629.919844359,118407.096423355,78303.187786101,155437.238306092,80242.6375027636,27488.2211989669,147164.664929142,292134.108527935,150809.493778872,51660.0827428412,47560.0828007072,97641.85035989,55951.3931898144,21598.8500073689,96.4564609502644,4448.05722697856,9535.55940114758,6439.20168618507
57,145324.874876186,288525.426802351,148955.4646335,51012.1921448215,71426.9455392414,141792.561223652,73206.9940554731,25085.0072608209,32764.9272794967,65038.4082742607,33576.1231592908,11503.3378909341,34964.6102443787,69406.5694474581,35832.473971691,12277.1895255716,47681.0476288662,94571.5480011656,48734.834075067,16658.1205855748,36663.9809952443,72657.4472524956,37368.7129604161,12740.5003041431,63.1029431603171,2840.23510051813,5873.76684499619,3398.10819067801,133277.510493426,261938.329874982,130485.969631289,42232.8518721224,0,117.474023116537,615.660668276459,1387.69222533376,356842.125123814,708360.57319765,365692.535366499,125282.807855179,85624.5538753717,169971.003592199,87746.2623933079,30059.3401783073,164826.015464822,327192.43893434,168908.804946027,57861.2708904788,56963.2827644623,116706.937556334,66481.8692284202,25508.4557351151,112.741026192712,5198.75202616554,11144.0927855166,7524.93165905082
58,128607.256000872,255334.93961103,131817.155003008,45138.302368521,65524.8805578692,130079.252232876,67161.316139538,23014.5149019047,32967.1977143405,65440.9259943565,33784.5700844131,11575.1451868567,33622.6967398522,66744.2242393802,34458.8474567696,11807.0563512181,48369.1613558643,95935.5741296867,49436.0953334879,16897.2741387764,40752.4054946637,80752.7723296534,41524.255135922,14153.926418149,70.8987433913215,3187.64817337578,6581.48575365477,3782.61580873839,152252.503393146,299272.614274851,149152.908941011,48278.5058897705,0,140.04901479004,733.366152195735,1647.65893606526,373559.743999127,741551.06038897,382830.844996992,131156.697631479,92410.4590323775,183442.142446828,94701.4586572363,32442.6548188723,182001.707669028,361287.441469886,186511.222743448,63892.471559484,66593.0620751066,136231.311503111,77265.7545398988,29512.0560158659,130.110263303883,5999.40147031427,12859.4223751985,8682.54782615162
59,114541.205677082,227407.976930357,117396.235077091,40195.4378127161,59029.2494615844,117186.927520146,60506.5165167248,20735.082428264,32572.3410409624,64658.1322050365,33381.079747455,11437.2875104325,31670.6786559606,62870.6279552113,32459.7888671665,11122.5771006145,48147.1104033667,95493.8951157026,49206.2013582344,16817.8636320355,44338.1723289252,87850.5734962482,45164.9884499319,15391.078275847,78.4137682089139,3521.27560358679,7257.17064815493,4140.81861486484,171789.82866391,337733.410339236,168413.841809618,54520.2724302997,0,165.180834475925,864.177525623773,1934.582194926,387625.794322918,769478.023069644,397251.764922908,136099.562187284,98578.9634584001,195687.928664849,101024.174521855,34609.343927706,198346.902746973,393734.538929437,203263.285017162,69632.5587306995,76269.3722305877,155849.814860178,88101.1945957808,33534.6307759578,148.295245167654,6837.59851114191,14654.9101257475,9894.02459077685
60,102841.386029993,204178.362108547,105400.533200241,36083.5631697061,52351.1782141791,103931.709014549,53663.9475274852,18391.084104937,31655.0117345269,62838.1490836364,32442.08411133,11115.9310458877,29282.4266397467,58130.849272479,30013.4081445639,10284.7561476425,47059.379710542,93334.8942518484,48090.9587401393,16435.6544892119,47321.6519910699,93753.558400647,48189.6224653232,16417.4949954857,85.415349027368,3830.63044273643,7879.11819008409,4460.35249768803,191570.550330915,376697.121109759,187963.047006797,60860.0644887023,0,192.726315798389,1007.28061403636,2246.09906073896,399325.613970007,792707.637891453,409247.466799759,140211.436830294,104092.330726748,206633.378663071,106675.655781682,36546.1058176071,213599.678389332,424013.700941354,218896.455346028,74989.4907601074,85813.2521914643,175199.522435571,98787.6209330871,37501.6612142499,167.006309148298,7699.98185991948,16501.8830069448,11139.9707494357
